,Unnamed: 0,jd,band,flux,flux_err,zp,zpsys,index,field,ccdid,qid,band_y,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zp_y,programid,rfid,flux_raw,flux_err_y,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,tid,tmax,tmp_flux,tmp_flux_error,weights,flux_err_weights,bmedian,bstd,bmean,bwmean_wSNR,bwmean_wfluxe,bmean_error,bwmean_wSNR_err,bwmean_wfluxe_err,bcount,flux_y,zpsys_y,sim_flux,pull
0,0,2458915.9677894,p48g,443.9531806753565,66.20094766098794,26.033852,ab,1275,848,7,3,p48g,1161467782715,0,2.2789,73.6288,12.6845,26.1303,1.95069e-05,0.040001199999999994,-0.0792324,3.90773e-05,541,30.0,0.040656,0.053952999999999994,19.427,26.1303,1,848120127,336.62279325349,60.5248741025854,6.18677647888837,1.0168778869483701,338.47161760871,105.978246775527,3.2152942117356096,1.04395189278576,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,118.8566592992493,21.370461194301104,30.93280111827013,0.0021896374408636138,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,360.31676320551065,ab,448.9472858121083,-0.07543857472141292
8,8,2458909.0535764,p48g,852.2444368046578,44.560424341675606,26.157038,ab,1266,848,7,3,p48g,1154553572715,0,2.3004,79.3546,8.61708,26.2469,1.5180799999999999e-05,0.038388900000000004,-0.101839,2.5351100000000002e-05,653,30.0,0.04476,0.061642999999999996,19.9576,26.2469,1,848120127,818.608653075034,42.210521884247704,21.5729933891126,1.0805766171840199,891.8360886070641,71.395539220901,12.575612787202001,1.0374573932004,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,259.60695964963,13.386305178219626,376.10682863042035,0.005580569954266553,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,844.9888378626101,ab,888.743138792756,-0.8190833576502193
9,9,2458901.0392361,p48g,773.7446272717826,33.81726309850788,25.330139000000006,ab,1261,848,7,3,p48g,1146539232715,0,2.0688,38.2014,6.57759,25.4141,2.20479e-05,0.043526800000000004,-0.0840888,4.208720000000001e-05,567,30.0,0.051418,0.057839999999999996,19.5298,25.4141,1,848120127,785.9853776443422,33.385277815534,26.188720043916998,1.08581016053331,828.918506976129,56.430289971349204,14.7881806249101,1.0427870002232,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,536.7529828288439,22.798957792019053,554.2669000709014,0.001923844698410184,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,798.2359910041118,ab,814.0399539157793,-1.1915608465007506
12,12,2458893.9867245,p48g,2401.471516977261,46.0983780456183,26.087439,ab,1250,848,7,3,p48g,1139486722715,0,2.1244,76.9956,8.880930000000003,26.1961,1.23448e-05,0.0345774,-0.08341280000000001,2.12205e-05,649,30.0,0.043751,0.053741,19.9456,26.1961,1,848120127,2588.1174150269103,45.7870194721399,62.8776645330272,1.79051311307056,2662.3007459748396,71.1279042037846,37.681856715407,1.04925657919702,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,860.090152051884,15.216065666551652,3195.0907833561077,0.0043191198200765975,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,2613.291739953394,ab,2426.565654726681,-0.5443605353009772
15,15,2458914.0197106004,p48g,456.6423353151312,26.503760970244127,25.930532999999997,ab,1272,848,7,3,p48g,1159519712715,0,2.0779,66.015,5.11684,26.0291,1.5148900000000007e-05,0.038836199999999994,-0.129019,2.4426e-05,668,30.0,0.083176,0.053905999999999996,20.4632,26.0291,1,848120127,421.650853935718,23.9337084872888,19.5973698224947,1.2393230512541202,470.68774713832886,40.1791781373544,11.793617444746499,1.04636611534768,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,163.42292681402364,9.276197721403564,310.37445815332484,0.011621441648952707,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,443.23614122948237,ab,470.6811168277718,-0.5296901646676476
16,16,2458877.0165393995,p48g,742.074713447817,27.513638923149877,26.07934250000001,ab,1227,848,7,3,p48g,1122516532715,0,2.6403,76.0055,5.330369999999999,26.2001,1.30758e-05,0.0359486,-0.137679,2.11725e-05,664,30.0,0.087979,0.058705999999999994,20.2358,26.2001,1,848120127,696.661766283465,30.738104329404106,25.2115587364061,1.01812962801532,748.801452102685,47.364679238927,15.915755898232,1.04738309286338,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,230.6651459400256,10.177405541984044,513.6766119321843,0.00965441224585283,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,721.9290079042125,ab,765.8008608222824,-0.8623413079141026
18,18,2458912.0462963,p48g,600.7997145127669,33.438445382599966,26.030106,ab,1268,848,7,3,p48g,1157546292715,0,2.8533,78.5014,6.47803,26.2221,1.4189100000000001e-05,0.0367271,-0.0957547,2.4369800000000002e-05,635,30.0,0.06396900000000001,0.062157000000000004,20.0604,26.2221,1,848120127,594.399864648463,40.1390512236166,16.472761106970697,0.9493111130234,636.985229334441,59.7410298894361,10.734253538811,1.06755478648911,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,192.8584632495964,13.023481658869093,219.2922069062853,0.005895841429202022,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,620.1843123519336,ab,609.6589644014922,-0.2649420386432003
25,25,2458941.9950231,p48g,187.5871505361327,20.76107129710346,26.002552,ab,1282,848,7,3,p48g,1187495022715,0,2.8643,79.0372,4.08096,26.2235,1.82609e-05,0.042783800000000004,-0.14341500000000001,2.94272e-05,675,30.0,0.174137,0.06228300000000001,20.526,26.2235,1,848120127,99.24181042286742,24.5054445606733,4.504918037325781,1.14878826199431,123.553811710154,36.98510705801871,3.36313623604102,1.08008066030901,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,32.15841817564609,7.940769423737347,16.400768006643723,0.01585896456836737,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,125.05952726668714,ab,159.1508729446802,1.369692208292732
26,26,2458900.0385069,p48g,1777.220207754763,27.05796578292562,26.101119,ab,1259,848,7,3,p48g,1145538502715,0,2.427,78.7377,5.25959,26.2259,1.2515e-05,0.035237300000000006,-0.119362,2.0034e-05,673,30.0,0.08905199999999999,0.061515,20.3815,26.2259,1,848120127,1905.1518718078892,35.74618318154772,59.286351737003,1.5243100337274,1992.9566560366,50.737410924736004,39.5443775551703,1.0501108850698702,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,615.9842413094009,11.557653671934073,2840.533074011709,0.007486186578339048,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,1931.0267213641955,ab,1775.6833955482068,0.05679703414828961
34,34,2458891.9696528,p48g,2594.2622039851776,60.437769584979584,26.0795025,ab,1247,848,7,3,p48g,1137469652715,0,2.5028,76.086,11.6418,26.2017,1.80549e-05,0.0390461,-0.0962375,3.5809099999999996e-05,556,30.0,0.057540999999999995,0.061188,19.5118,26.2017,1,848120127,2799.01819020654,65.6850589693457,47.40170114138579,1.23528776074272,2889.283446709,103.411317891721,28.127897373892107,1.0459812262867099,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,925.3919577022583,21.71633808029872,1815.8428213109341,0.0021204440209996165,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,2824.322694459961,ab,2572.5762761523883,0.3588141650776407
